,0
raised_musd,0.14986710971458078
decade_started,0.10310968226029475
Sector,0.037597457296315626
big_tech_pressure,0.025200527093270586
n_flags_sq,0.013124720018366825
No Budget,0.012687438526351458
Niche Limits,0.012406797883281123
Acquisition Stagnation,0.010608818379716223
Competition,0.0102980646673403
Poor Market Fit,0.010188002211508469
Trend Shifts,0.005389883158321174
Monetization Failure,0.004188616874185447
single_cause_failure,0.0029564020488231533
Execution Flaws,-0.0010998375528169068
Giants,-0.00362187471030091
n_flags,-0.021695544860239845
